,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Chris Alexander,Chris Alexander,5,4,1,2019-04-15,2019 WPA Players Championship Qualifier 4
1,Michael Leahy,Lin Da-Li,1,5,2,2019-04-15,2019 WPA Players Championship Qualifier 4
2,Mark Todd,Mike Hutcheson,1,5,3,2019-04-15,2019 WPA Players Championship Qualifier 4
3,Chris McDaniel,Phuc Long Nguyen,5,1,4,2019-04-15,2019 WPA Players Championship Qualifier 4
4,Lefteris Georgiou,Ray Robles II,5,3,5,2019-04-15,2019 WPA Players Championship Qualifier 4
5,Tyler Styer,Vilmos Foldes,3,5,6,2019-04-15,2019 WPA Players Championship Qualifier 4
6,Chris Lulek,Donny Branson,3,5,7,2019-04-15,2019 WPA Players Championship Qualifier 4
7,Jason Merry,Konrad Piekarski,1,5,8,2019-04-15,2019 WPA Players Championship Qualifier 4
8,Kostas Koukiadakis,Daniel Baker,2,5,9,2019-04-15,2019 WPA Players Championship Qualifier 4
9,Gary Lutman,Sanjin Pehlivanovic,5,3,10,2019-04-15,2019 WPA Players Championship Qualifier 4
10,Dean Goddard,Gabe Owen,2,5,11,2019-04-15,2019 WPA Players Championship Qualifier 4
11,Kings Santy,Cheng-Chieh Liu,4,5,12,2019-04-15,2019 WPA Players Championship Qualifier 4
12,Lenny Rakers,Lance  Salazar,0,5,13,2019-04-15,2019 WPA Players Championship Qualifier 4
13,Raymund Faraon,Luu Minh Phuc,5,1,14,2019-04-15,2019 WPA Players Championship Qualifier 4
14,Del Smith,Lin Da-Li,1,5,15,2019-04-15,2019 WPA Players Championship Qualifier 4
15,Jui-An Hsu,Mike Hutcheson,5,1,16,2019-04-15,2019 WPA Players Championship Qualifier 4
16,Jeffrey De Luna,Chris McDaniel,5,3,17,2019-04-15,2019 WPA Players Championship Qualifier 4
17,Manuel Perez,Lefteris Georgiou,5,4,18,2019-04-15,2019 WPA Players Championship Qualifier 4
18,Chris Lawson,Vilmos Foldes,1,5,19,2019-04-15,2019 WPA Players Championship Qualifier 4
19,Ruslan Chinahov,Donny Branson,5,1,20,2019-04-15,2019 WPA Players Championship Qualifier 4
20,Marc Vidal Claramunt,Konrad Piekarski,5,3,21,2019-04-15,2019 WPA Players Championship Qualifier 4
21,Ian Costello,Jeremy Jones,2,5,22,2019-04-15,2019 WPA Players Championship Qualifier 4
22,Szu-Ting Kuo,Daniel Baker,5,4,23,2019-04-15,2019 WPA Players Championship Qualifier 4
23,Chris Mohr,Vang Bui Xuan,1,5,24,2019-04-15,2019 WPA Players Championship Qualifier 4
24,Ozzy Reynolds,Gary Lutman,5,4,25,2019-04-15,2019 WPA Players Championship Qualifier 4
25,Ken Thompson,Gabe Owen,1,5,26,2019-04-15,2019 WPA Players Championship Qualifier 4
26,Jalal Yousef,Cheng-Chieh Liu,5,1,27,2019-04-15,2019 WPA Players Championship Qualifier 4
27,Che-Wei Fu,Lance  Salazar,5,4,28,2019-04-15,2019 WPA Players Championship Qualifier 4
28,Raymund Faraon,Blake Baker,5,1,29,2019-04-15,2019 WPA Players Championship Qualifier 4
29,Lin Da-Li,Jui-An Hsu,0,5,30,2019-04-15,2019 WPA Players Championship Qualifier 4
30,Jeffrey De Luna,Manuel Perez,5,2,31,2019-04-15,2019 WPA Players Championship Qualifier 4
31,Vilmos Foldes,Ruslan Chinahov,1,5,32,2019-04-15,2019 WPA Players Championship Qualifier 4
32,Marc Vidal Claramunt,Jeremy Jones,5,2,33,2019-04-15,2019 WPA Players Championship Qualifier 4
33,Szu-Ting Kuo,Vang Bui Xuan,5,4,34,2019-04-15,2019 WPA Players Championship Qualifier 4
34,Ozzy Reynolds,Gabe Owen,4,5,35,2019-04-15,2019 WPA Players Championship Qualifier 4
35,Jalal Yousef,Che-Wei Fu,2,5,36,2019-04-15,2019 WPA Players Championship Qualifier 4
36,Raymund Faraon,Jui-An Hsu,5,1,37,2019-04-15,2019 WPA Players Championship Qualifier 4
37,Jeffrey De Luna,Ruslan Chinahov,5,3,38,2019-04-15,2019 WPA Players Championship Qualifier 4
38,Marc Vidal Claramunt,Szu-Ting Kuo,4,5,39,2019-04-15,2019 WPA Players Championship Qualifier 4
39,Gabe Owen,Che-Wei Fu,0,5,40,2019-04-15,2019 WPA Players Championship Qualifier 4
