,player,ratings
0,Shane Van Boening,828
1,Joshua Filler,826
2,Jiaqing Wu,826
3,Jayson Shaw,824
4,Jung Lin Chang,823
5,Anton Raga,821
6,Xiaohuai Zheng,820
7,Pin Yi Ko,819
8,Fedor Gorst,819
9,Dennis Orcollo,817
10,Eklent Kaci,815
11,Ping Chung Ko,814
12,Lee Van Corteza,813
13,Niels Feijen,813
14,Alex Pagulayan,813
15,Carlo Biado,812
16,Francisco Sanchez Ruiz,812
17,Albin Ouschan,807
18,James Aranas,805
19,Yu Hsuan Cheng,805
20,Jerico Banares,805
21,Mike Dechaine,804
22,Can Wang,803
23,Jeffrey Ignacio,803
24,Haitao Liu,803
25,Naoyuki Oi,801
26,Alex Kazakis,801
27,Roland Garcia,801
28,Mark Gray,801
29,Johann Chua,801
30,Wojciech Szewczyk,800
31,Kai Lun Hsu,799
32,Yu Lung Chang,799
33,Aloysius Yapp,798
34,Jeffrey De Luna,798
35,Jianbo Fu,798
36,Siming Chen,797
37,Sky Woodward,797
38,Mario He,797
39,David Alcaide,796
40,Kun Lin Wu,795
41,Lo Li Wen,795
42,Ruslan Chinakhov,795
43,Jin-Hu Dang,795
44,Sanjin Pehlivanovic,794
45,Justin Bergman,793
46,Warren Kiamco,793
47,Francisco Bustamante,793
48,Maximilian Lechner,793
49,Ralf Souquet,793
50,Hayato Hijikata,792
51,Che Wei Fu,791
52,Denis Grabe,790
53,Wiktor Zielinski,790
54,Hoang Duong Quoc,790
55,Thorsten Hohmann,789
56,Mieszko Fortunski,788
57,Nick VanDenBerg,787
58,Francisco Diaz-Pizarro,787
59,Demosthenes Pulpul,786
60,Imran Majid,786
61,Mika Immonen,786
62,Chris Melling,785
63,Roberto Gomez,785
64,Mateusz Sniegocki,784
65,Nick Ekonomopoulos,784
66,Ching-Shun Yang,784
67,Marco Teutscher,783
68,Kim Laaksonen,783
69,John Morra,782
70,Corey Deuel,781
71,Karol Skowerski,781
72,Darren Appleton,781
73,The Kien Do,780
74,Oscar Dominguez,779
