matchIndex,playerA,playerB,playerARacks,playerBRacks,date,competition
1,Wojciech Szewczyk,Serge Das,9,8,22-Mar-19,2019 Mezz Bucharest Open
2,Micha? Muklewicz,Gentjan Lengu,9,1,22-Mar-19,2019 Mezz Bucharest Open
3,Antonis Vourthis,Ferdi Özdemir,9,6,22-Mar-19,2019 Mezz Bucharest Open
4,Alexandru Tintaru,Arkadiusz Giernalczyk,0,9,22-Mar-19,2019 Mezz Bucharest Open
5,Marcus Chamat,Preda Robert Alexandru,9,2,22-Mar-19,2019 Mezz Bucharest Open
6,Cezary Jarosz,Roberto Maione,9,4,22-Mar-19,2019 Mezz Bucharest Open
7,Aurelian Apostol,Johan Palé,8,9,22-Mar-19,2019 Mezz Bucharest Open
8,Andras M Kiss,Karabiyik Aygün,3,9,22-Mar-19,2019 Mezz Bucharest Open
9,Olivér Szolnoki,Markus Messingschlager,9,2,22-Mar-19,2019 Mezz Bucharest Open
10,Aleksandar Bogicevic,Alex Montpellier,2,9,22-Mar-19,2019 Mezz Bucharest Open
11,Madalina Ciocan,Alexandru Dobrin,3,9,22-Mar-19,2019 Mezz Bucharest Open
12,Jeppe Thyde,Matija Obradovic,9,8,22-Mar-19,2019 Mezz Bucharest Open
13,Sanjin Pehlivanovic,Cristian Munteanu,9,0,22-Mar-19,2019 Mezz Bucharest Open
14,John Tsirimokos,Dan Ursu,4,9,22-Mar-19,2019 Mezz Bucharest Open
15,Gabi Gosa,Mustafa Alnar,1,9,22-Mar-19,2019 Mezz Bucharest Open
16,Vlad Adrian Moscalu,Savga Serghei,8,9,22-Mar-19,2019 Mezz Bucharest Open
17,Eklent Kaci,Bare David,9,3,22-Mar-19,2019 Mezz Bucharest Open
18,Daniel Silva,Rodrigo Matias,9,5,22-Mar-19,2019 Mezz Bucharest Open
19,Aleksandar Zeljkovic,Cristian Barto?,9,1,22-Mar-19,2019 Mezz Bucharest Open
20,David Márquez Avila,Gastaldi Guido,9,0,22-Mar-19,2019 Mezz Bucharest Open
21,Tony Drago,Tahsin Kaplan,9,3,22-Mar-19,2019 Mezz Bucharest Open
22,Emre Çelik,Aleksa Pecelj,5,9,22-Mar-19,2019 Mezz Bucharest Open
23,Arjan Matrizi,Claudiu Groapa,9,4,22-Mar-19,2019 Mezz Bucharest Open
