,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Ralf Souquet,Nick Malai,11,4,1,2012-06-22,2012 WPA World 9-Ball Championship
1,Jonny Martinez,Takashi Uraoka,11,8,2,2012-06-22,2012 WPA World 9-Ball Championship
2,Fu Che-wei,Andrea Klasovic,11,4,3,2012-06-22,2012 WPA World 9-Ball Championship
3,Jayson Shaw,Bruno Muratore,6,11,4,2012-06-22,2012 WPA World 9-Ball Championship
4,Aki Heiskanen,Hsu Kai-lun,5,11,5,2012-06-22,2012 WPA World 9-Ball Championship
5,Andrew Kong,Dennis Orcollo,8,11,6,2012-06-22,2012 WPA World 9-Ball Championship
6,Nick van den Berg,Marlon Caneda,11,6,7,2012-06-22,2012 WPA World 9-Ball Championship
7,Han Haoxiang,Israel Rota,11,8,8,2012-06-22,2012 WPA World 9-Ball Championship
8,Lee Van Corteza,Serge Das,11,4,9,2012-06-22,2012 WPA World 9-Ball Championship
9,Tony Drago,Mika Immonen,10,11,10,2012-06-22,2012 WPA World 9-Ball Championship
10,Antonio Gabica,Mario He,11,7,11,2012-06-22,2012 WPA World 9-Ball Championship
11,Vincent Facquet,Yang Ching-shun,4,11,12,2012-06-22,2012 WPA World 9-Ball Championship
12,Majed Alazmi,Khaled al-Mutairi,8,11,13,2012-06-22,2012 WPA World 9-Ball Championship
13,Chang Yu-Lung,Omar al-Shaheen,10,11,14,2012-06-22,2012 WPA World 9-Ball Championship
14,John Morra,Elvis Calasang,11,7,15,2012-06-22,2012 WPA World 9-Ball Championship
15,Jason Klatt,Li Hewen,9,11,16,2012-06-22,2012 WPA World 9-Ball Championship
16,Carlo Biado,Naoyuki Ōi,10,11,17,2012-06-22,2012 WPA World 9-Ball Championship
17,Chang Jung-Lin,Joven Alba,11,2,18,2012-06-22,2012 WPA World 9-Ball Championship
18,Thorsten Hohmann,Badr al-Awadi,11,4,19,2012-06-22,2012 WPA World 9-Ball Championship
19,Thomas Engert,Yukio Akakariyama,9,11,20,2012-06-22,2012 WPA World 9-Ball Championship
20,Karl Boyes,Do The Kien,11,9,21,2012-06-22,2012 WPA World 9-Ball Championship
21,Francisco Bustamante,Chao Fong-Pang,6,11,22,2012-06-22,2012 WPA World 9-Ball Championship
22,Manuel Gama,Dominic Jentsch,6,11,23,2012-06-22,2012 WPA World 9-Ball Championship
23,Efren Reyes,Toh Lian Han,11,6,24,2012-06-22,2012 WPA World 9-Ball Championship
24,Roberto Gomez,Liu Haitao (pool player),4,11,25,2012-06-22,2012 WPA World 9-Ball Championship
25,konomopoulos,Ryu Seung-woo,11,5,26,2012-06-22,2012 WPA World 9-Ball Championship
26,Matthew Edwards,Tōru Kuribayashi,11,7,27,2012-06-22,2012 WPA World 9-Ball Championship
27,Darren Appleton,Mateusz Śniegocki,11,5,28,2012-06-22,2012 WPA World 9-Ball Championship
28,Konstantin Stepanow,Ryoji Hori,11,5,29,2012-06-22,2012 WPA World 9-Ball Championship
29,Ronato Alcano,Jundel Mazon,9,11,30,2012-06-22,2012 WPA World 9-Ball Championship
30,Daryl Peach,Lo Li-wen,9,11,31,2012-06-22,2012 WPA World 9-Ball Championship
31,Ko Pin-yi,Huidji See,11,6,32,2012-06-22,2012 WPA World 9-Ball Championship
32,Ralf Souquet,Jonny Martinez,11,7,33,2012-06-22,2012 WPA World 9-Ball Championship
33,Fu Che-wei,Bruno Muratore,9,11,34,2012-06-22,2012 WPA World 9-Ball Championship
34,Hsu Kai-lun,Dennis Orcollo,8,11,35,2012-06-22,2012 WPA World 9-Ball Championship
35,Nick van den Berg,Han Haoxiang,11,9,36,2012-06-22,2012 WPA World 9-Ball Championship
36,Lee Van Corteza,Mika Immonen,5,11,37,2012-06-22,2012 WPA World 9-Ball Championship
37,Antonio Gabica,Yang Ching-shun,11,9,38,2012-06-22,2012 WPA World 9-Ball Championship
38,Khaled al-Mutairi,Omar al-Shaheen,6,11,39,2012-06-22,2012 WPA World 9-Ball Championship
39,John Morra,Li Hewen,8,11,40,2012-06-22,2012 WPA World 9-Ball Championship
40,Naoyuki Ōi,Chang Jung-Lin,11,3,41,2012-06-22,2012 WPA World 9-Ball Championship
41,Thorsten Hohmann,Yukio Akakariyama,11,9,42,2012-06-22,2012 WPA World 9-Ball Championship
42,Karl Boyes,Chao Fong-Pang,11,8,43,2012-06-22,2012 WPA World 9-Ball Championship
43,Dominic Jentsch,Efren Reyes,11,10,44,2012-06-22,2012 WPA World 9-Ball Championship
44,Liu Haitao (pool player),konomopoulos,8,11,45,2012-06-22,2012 WPA World 9-Ball Championship
45,Matthew Edwards,Darren Appleton,10,11,46,2012-06-22,2012 WPA World 9-Ball Championship
46,Konstantin Stepanow,Jundel Mazon,3,11,47,2012-06-22,2012 WPA World 9-Ball Championship
47,Lo Li-wen,Ko Pin-yi,10,11,48,2012-06-22,2012 WPA World 9-Ball Championship
48,Ralf Souquet,Bruno Muratore,11,4,49,2012-06-22,2012 WPA World 9-Ball Championship
49,Dennis Orcollo,Nick van den Berg,6,11,50,2012-06-22,2012 WPA World 9-Ball Championship
50,Mika Immonen,Antonio Gabica,9,11,51,2012-06-22,2012 WPA World 9-Ball Championship
51,Omar al-Shaheen,Li Hewen,9,11,52,2012-06-22,2012 WPA World 9-Ball Championship
52,Naoyuki Ōi,Thorsten Hohmann,11,9,53,2012-06-22,2012 WPA World 9-Ball Championship
53,Karl Boyes,Dominic Jentsch,11,10,54,2012-06-22,2012 WPA World 9-Ball Championship
54,konomopoulos,Darren Appleton,8,11,55,2012-06-22,2012 WPA World 9-Ball Championship
55,Jundel Mazon,Ko Pin-yi,9,11,56,2012-06-22,2012 WPA World 9-Ball Championship
56,Ralf Souquet,Nick van den Berg,11,9,57,2012-06-22,2012 WPA World 9-Ball Championship
57,Antonio Gabica,Li Hewen,10,11,58,2012-06-22,2012 WPA World 9-Ball Championship
58,Naoyuki Ōi,Karl Boyes,11,9,59,2012-06-22,2012 WPA World 9-Ball Championship
59,Darren Appleton,Ko Pin-yi,11,9,60,2012-06-22,2012 WPA World 9-Ball Championship
60,Ralf Souquet,Li Hewen,6,11,61,2012-06-22,2012 WPA World 9-Ball Championship
61,Naoyuki Ōi,Darren Appleton,7,11,62,2012-06-22,2012 WPA World 9-Ball Championship
62,Li Hewen,Darren Appleton,12,13,63,2012-06-22,2012 WPA World 9-Ball Championship
