,player,rankings
0,Ping Chung Ko,25263
1,Joshua Filler,23512
2,Shane Van Boening,22574
3,Fedor Gorst,19037
4,Jung-Lin Chang,19012
5,Ko Pin Yi,17966
6,Alex Pagulayan,16215
7,Jayson Shaw,16000
8,Alex Kazakis,15900
9,Niels Feijen,15792
10,Jiaqing Wu,15512
11,Ralf Souquet,14549
12,Johann Gonzales Chua,14151
13,Billy Thorpe,13960
14,Carlo Biado,13700
15,Tyler Styer,13175
16,Yu Lung Chang,13137
17,Eklent Kaci,13124
18,Maximilian Lechner,12887
19,Haitao Liu,12763
20,Yu Hsuan Cheng,11725
21,David Alcaide,11713
22,Francisco Sanchez Ruiz,11650
23,Siming Chen,11320
24,Naoyuki Oi,11312
25,Kelly Fisher,11276
26,Aloysius Yapp,11151
27,Albin Ouschan,11050
28,Chris Melling,10737
29,Wojciech Szewczyk,10575
30,Denis Grabe,10450
31,Han Yu,10180
32,Casper Matikainen,10102
33,Rubilen Amit,10073
34,James Aranaz,10050
35,Corey Deuel,9962
36,Mateusz Sniegocki,9801
37,Jasmin Ouschan,9776
38,Jeffrey Ignacio,9075
39,Mieszko Fortunski,8775
40,Thorsten Hohmann,8487
41,Masato Yoshioka,8487
42,Do The Kien,8352
43,Sha Sha Liu,8180
44,John Morra,8137
45,Matt Edwards,8055
46,Anthony Cortes Raga,7900
47,Darren Appleton,7875
48,Jin Hu Dang,7799
49,Duong Quoc Hoang,7700
50,Marc Bijsterbosch,7462
51,Xiao-Fang Fu,7457
52,Skyler Woodward,6800
53,Hunter Lombardo,6780
54,Kun Lin Wu,6575
55,Raymund Faraon,6525
56,Zhang Muyan,6376
57,Chingshun Yang,5912
58,Chieh-Yu Chou,5876
59,Tomasz Kaplan,5712
60,Konrad Juszczyszyn,5687
61,Jeffrey de Luna,5650
62,Qingning Huan,5557
63,Lin Dali,5512
64,Toru Kuribayashi,5400
65,Doudou Zhou,5250
66,Karol Skowerski,5162
67,Max Eberle,5155
68,Radoslaw Babica,5087
69,Chichiro Kawahara,5057
70,Yuki Hiraguchi,5057
71,Chia Hua Chen,5007
72,Eun Ji Park,4960
73,Tzu-Chien Wei,4960
74,Ho-Yun Chen,4960
75,Liu Ri Teng,4950
76,Earl Strickland,4950
77,Ruslan Chinakhov,4875
78,Xiazhi Liu,4857
79,Centeno Chezka,4857
80,Seung Woo Ryu,4842
81,Maharyta Fefilava,4760
82,Brandon Shuff,4700
83,Kai-Lun Hsu,4650
84,Marco Teutscher,4600
85,Yip Kin-Ling,4525
86,Nikolaos Malaj,4500
87,Mika Immonen,4500
88,Liu Cheng Chieh,4362
89,Fu Jianbo,4325
90,Bui Xuan Vang,4260
91,Kristina Tkach,4260
92,Zhen Qi Xue,4199
93,Can Wang,4180
94,Hsu Jui An,4175
95,Petri Makkonen,4087
96,Li Wen Lo,4075
97,Bai Ge,4000
98,Clark Sullivan,3980
99,Theron Jason,3975
100,Mario He,3900
101,Gerson Martinez,3880
102,Yukio Akakariyama,3787
103,Waleed Majid,3775
104,Maksim Dudanets,3700
105,Robbie Capito,3630
106,Wang Wan-Ling,3500
107,Josh Roberts,3450
108,Shaun Wilkie,3300
109,Enrique Rojas,3162
110,David Anderson,3075
111,Halliday Richard,3055
112,Che-Wei Fu,2750
113,Danny Olson,2600
114,Xiao Cong Xu,2475
115,Bernarda Soledad Ayala,2460
116,Eylul Kibaroglu,2400
117,Yvonne Ullmann-Hybler,2400
118,Vania Franco,2400
119,Fan Langtong,2400
120,Yun-Mi Lim,2400
121,Angeline Ticoalu,2400
122,Ruolin Chen,2400
123,Xiaotong Wang,2400
124,Mou Ko Yu,2400
125,Mitch Ellerman,2300
126,Roberto Gomez,2250
127,Ruben Bautista,2175
128,Akimi Kajatani,2150
129,Omar al-Shaheen,2100
130,Toan Nguyen,2100
131,Roman Hybler,2100
132,Jessica Tan Hui Ming,2060
133,Yana Shut,2025
134,Veronika Ivanovskaya,2025
135,Bashar Hussain,1987
136,Oliver Szolnoki,1987
137,Konishi Samia,1950
138,Dennis Orcollo,1900
139,Hung Meng Hsia Bean,1860
140,Steve Lillis,1800
141,Jang Moonseok,1787
142,NiMohammad-Ali Berjaoui,1787
143,Ivar Saris,1787
144,Damianos Giallourakis,1787
145,Kong Dejing,1787
146,Jalal Yousef ,1787
147,Stephen Holem,1787
148,Pijus Labutis,1787
149,Jakub Koniar,1787
150,Justin Bergman,1700
151,Marek Kudlik,1700
152,Marc Vidal,1680
153,Nguyen Phuc Long,1650
154,Maung Maung,1555
155,Wang Ying,1550
156,Wang Sijia,1550
157,Yuying Xia,1550
158,Ewa Bak,1550
159,Lee Woo Jin,1550
160,Daria Holieva,1550
161,Monika Margeta,1550
162,Chiang Shui Ching,1550
163,Iris Ranola,1550
164,Melanie Suessenguth,1550
165,Floriza Andal,1550
166,Ariel Castro,1550
167,Miguel Arcangel,1550
168,Pehlivanovic Sanjin,1500
169,Johnny Archer,1500
170,Jeremy Jones,1500
171,Warren Kiamco,1400
172,Xihe Zhu,1375
173,Frankie Hernandez,1300
174,Marlon Manalo,1300
175,John Schmidt,1300
176,Kostas Koukiadakis,1300
177,Donny Mills,1300
178,Rodney Morris,1300
179,Tony Chohan,1300
180,Kuo Szu-Ting,1300
