matchNumber,matchTime,playerA,playerARacks,playerB,playerBRacks,round,Competition
D22-9B1,24-Jan-20,Corey Deuel,9,Mika Immonen,5,Prelim,2020 Derby City Classic XXII 9 Ball
D22-9B2,24-Jan-20,Omar Al Shaheen,9,Skyler Woodward,6,Prelim,2020 Derby City Classic XXII 9 Ball
D22-9B3,24-Jan-20,Jennifer Barretta,9,Joey Korsiak,8,Prelim,2020 Derby City Classic XXII 9 Ball
D22-9B4,24-Jan-20,Konrad Juszczyszn,9,Chris Melling,6,Prelim,2020 Derby City Classic XXII 9 Ball
D22-9B5,24-Jan-20,Joshua Filler,9,Shane Van Boening,2,Prelim,2020 Derby City Classic XXII 9 Ball
D22-9B6,24-Jan-20,James Aranas,9,Justin Bergman,1,Prelim,2020 Derby City Classic XXII 9 Ball
D22-9B7,24-Jan-20,Joshua Filler,9,Dennis Orcollo,4,Prelim,2020 Derby City Classic XXII 9 Ball
D22-9B8,24-Jan-20,Lee Vann Corteza,11,Joshua Filler,4,Final,2020 Derby City Classic XXII 9 Ball
I9B2-01,28-Oct-19,Justin Bergman,11,John Schmidt,10,Prelim,2019 International 9-Ball Open 
I9B2-02,28-Oct-19,Chang Jung-Lin,11,Rob Saez,3,Prelim,2019 International 9-Ball Open 
I9B2-03,28-Oct-19,Ko Pin Yi,11,Roberto Gomez,10,Prelim,2019 International 9-Ball Open 
I9B2-04,28-Oct-19,Joshua Filler,11,Maxim Dudanets,4,Prelim,2019 International 9-Ball Open 
I9B2-05,28-Oct-19,Dennis Orcollo,11,Ko Ping Han,6,Prelim,2019 International 9-Ball Open 
I9B2-06,28-Oct-19,David Alcaide,11,Max Eberle,5,Prelim,2019 International 9-Ball Open 
I9B2-07,28-Oct-19,Nikos Ekonomopoulos,11,Lee Vann Corteza,9,Prelim,2019 International 9-Ball Open 
I9B2-08,28-Oct-19,Albin Ouschan,11,Josh Roberts,6,Prelim,2019 International 9-Ball Open 
I9B2-09,28-Oct-19,Shane Van Boening,11,Mika Immonen,7,Prelim,2019 International 9-Ball Open 
I9B2-10,28-Oct-19,Jayson Shaw,11,Duong Quac Hoang,8,Prelim,2019 International 9-Ball Open 
I9B2-11,28-Oct-19,Aloysius Yapp,11,Ko Pin Yi,5,Prelim,2019 International 9-Ball Open 
I9B2-12,28-Oct-19,Ko Ping Chung,11,Alex Pagulayan,4,Prelim,2019 International 9-Ball Open 
I9B2-13,28-Oct-19,Alex Kazakis,11,James Aranas,6,Prelim,2019 International 9-Ball Open 
I9B2-14,28-Oct-19,Albin Ouschan,11,Nikos Ekonomopoulos,9,Prelim,2019 International 9-Ball Open 
I9B2-15,28-Oct-19,Maximilian Lechner,11,Dennis Orcollo,7,Prelim,2019 International 9-Ball Open 
I9B2-16,28-Oct-19,Joshua Filler,11,Darren Appleton,10,Prelim,2019 International 9-Ball Open 
I9B2-17,28-Oct-19,Alex Pagulayan,11,Darren Appleton,7,Prelim,2019 International 9-Ball Open 
I9B2-18,28-Oct-19,Joshua Filler,11,Alex Kazakis,6,Prelim,2019 International 9-Ball Open 
I9B2-19,28-Oct-19,Maximilian Lechner,11,Ko Ping Chung,4,Prelim,2019 International 9-Ball Open 
I9B2-20,28-Oct-19,Jayson Shaw,11,Alex Kazakis,7,Prelim,2019 International 9-Ball Open 
I9B2-21,28-Oct-19,Maximilian Lechner,11,Joshua Filler,8,Prelim,2019 International 9-Ball Open 
I9B2-22,28-Oct-19,Jayson Shaw,11,Joshua Filler,8,Semi-Final,2019 International 9-Ball Open 
I9B2-23,28-Oct-19,Jayson Shaw,13,Maximilian Lechner,11,Final,2019 International 9-Ball Open 
D21-9B1,25-Jan-19,Johnny Archer,9,John Morra,2,Prelim,2019 Derby City Classic XXI 9-Ball
D21-9B2,25-Jan-19,Niels Feijen,9,Thorsten Hohmann,5,Prelim,2019 Derby City Classic XXI 9-Ball
D21-9B3,25-Jan-19,Jayson Shaw,9,Konrad Juszczyszn,3,Prelim,2019 Derby City Classic XXI 9-Ball
D21-9B4,25-Jan-19,Niels Feijen,9,Kevin Cheng,6,Prelim,2019 Derby City Classic XXI 9-Ball
D21-9B5,25-Jan-19,Skyler Woodward,9,Dennis Orcollo,5,Prelim,2019 Derby City Classic XXI 9-Ball
D21-9B6,25-Jan-19,James Aranas,9,Fedor Gorst,4,Prelim,2019 Derby City Classic XXI 9-Ball
D21-9B7,25-Jan-19,James Aranas,9,Skyler Woodward,5,Final,2019 Derby City Classic XXI 9-Ball
D21-9B8,25-Jan-19,Skyler Woodward,9,James Aranas,7,Final,2019 Derby City Classic XXI 9-Ball
I9B-01,21-Oct-18,Johnny Archer,11,Ralf Souqet,7,Prelim,2018 International 9-Ball Open 
I9B-02,21-Oct-18,Albin Ouschan,11,Mitch Ellerman,4,Prelim,2018 International 9-Ball Open 
I9B-03,21-Oct-18,Jayson Shaw,11,Shane McMinn,7,Prelim,2018 International 9-Ball Open 
I9B-04,21-Oct-18,Ko Pin Yi,11,Billy Thorpe,9,Prelim,2018 International 9-Ball Open 
I9B-05,21-Oct-18,Alex Kazakis,11,Earl Strickland,9,Prelim,2018 International 9-Ball Open 
I9B-06,21-Oct-18,James Aranas,11,Tony Chohan,10,Prelim,2018 International 9-Ball Open 
I9B-07,21-Oct-18,Dennis Orcollo,11,Chris Melling,10,Prelim,2018 International 9-Ball Open 
I9B-08,21-Oct-18,Radoslaw Babica,11,Jani Siekkinen,7,Prelim,2018 International 9-Ball Open 
I9B-09,21-Oct-18,Marek Kudlik,11,Chris Robinson,3,Prelim,2018 International 9-Ball Open 
I9B-10,21-Oct-18,Jung Lin Chang,11,Joshua Filler,5,Prelim,2018 International 9-Ball Open 
