,date,playerA,playerARacks,playerB,playerBRacks,competition,matchIndex
0,2020-02-20 09:00:00,Sergio Lagunas,9,Adrian Weiss,7,2020 EuroTour Treviso,1
1,2020-02-20 09:00:00,Jan Rempe,9,Valeriia Trushevskaia,6,2020 EuroTour Treviso,2
2,2020-02-20 09:00:00,Henrique Correia,9,Massimiliano Corso,3,2020 EuroTour Treviso,3
3,2020-02-20 10:30:00,Thorsten Hohmann,2,Petri Makkonen,9,2020 EuroTour Treviso,4
4,2020-02-20 10:30:00,Stefan Gruber,7,Moritz Neuhausen,9,2020 EuroTour Treviso,5
5,2020-02-20 10:30:00,Ole Kristian Rudshavn,6,Francesco Candela,9,2020 EuroTour Treviso,6
6,2020-02-20 12:00:00,Chris Melling,9,Ivan Nunez,2,2020 EuroTour Treviso,7
7,2020-02-20 12:00:00,Cosimo Esposito,1,Tobias Bongers,9,2020 EuroTour Treviso,8
8,2020-02-20 13:30:00,Jani Uski,9,Elio Sammarini,6,2020 EuroTour Treviso,9
9,2020-02-20 13:30:00,Niklas Dohr,9,Athanasios Vrakas,4,2020 EuroTour Treviso,10
10,2020-02-20 13:30:00,Francesco Garzia,7,Gianluca Cappella,9,2020 EuroTour Treviso,11
11,2020-02-20 09:00:00,Michael Schneider,5,Piotr Ostrowski,9,2020 EuroTour Treviso,12
12,2020-02-20 09:00:00,Jonas Souto,9,Mauro Castriota,3,2020 EuroTour Treviso,13
13,2020-02-20 09:00:00,Dmytro Skorokhodov,4,Johannes Geihe,9,2020 EuroTour Treviso,14
14,2020-02-20 10:30:00,Matteo Angelini,4,Pia Filler,9,2020 EuroTour Treviso,15
15,2020-02-20 10:30:00,Daniel Konrad,9,Stefan Sprangers,8,2020 EuroTour Treviso,16
16,2020-02-20 10:30:00,Alessandro Giordani,6,Zoran Pucar,9,2020 EuroTour Treviso,17
17,2020-02-20 12:00:00,Vladimir Matvienko,9,Sebastian Batkowski,4,2020 EuroTour Treviso,18
18,2020-02-20 13:30:00,Attila Bezdan,8,Jorge Garcia-Fonseca,9,2020 EuroTour Treviso,19
19,2020-02-20 13:30:00,Mario Valchev,9,Carlos Cabello,8,2020 EuroTour Treviso,20
20,2020-02-20 13:30:00,Fabio Rizzi,9,Florijan Maric,5,2020 EuroTour Treviso,21
21,2020-02-20 09:00:00,Jani Siekkinen,9,Max Henning,0,2020 EuroTour Treviso,22
22,2020-02-20 09:00:00,Imran Majid,9,Gabriel Ciprian,4,2020 EuroTour Treviso,23
23,2020-02-20 09:00:00,Jere Virtaranta,9,Ragnar Gronsten,4,2020 EuroTour Treviso,24
24,2020-02-20 10:30:00,Enrico Falappa,3,Jannik Putsche,9,2020 EuroTour Treviso,25
25,2020-02-20 10:30:00,Giovanni DiMartino,9,Thorsten Bonke,6,2020 EuroTour Treviso,26
26,2020-02-20 12:00:00,Francisco Diaz-Pizarro,9,Martin Kramer,1,2020 EuroTour Treviso,27
27,2020-02-20 12:00:00,Andrea Cianciaruso,0,Maxwell Johnson,0,2020 EuroTour Treviso,28
28,2020-02-20 13:30:00,Gabriel Syarov,1,Sergey Lutsker,9,2020 EuroTour Treviso,29
29,2020-02-20 13:30:00,Christian Froehlich,9,Ville Hamalainen,5,2020 EuroTour Treviso,30
30,2020-02-20 13:30:00,Chris Patient,6,Davy Piergiovanni,9,2020 EuroTour Treviso,31
31,2020-02-20 09:00:00,Daniel Resch,9,Karl Gnadenberg,2,2020 EuroTour Treviso,32
32,2020-02-20 09:00:00,Ronald Regli,9,Vasile Cozma,3,2020 EuroTour Treviso,33
33,2020-02-20 09:00:00,Marharyta Fefilava,9,Alberto Damico,8,2020 EuroTour Treviso,34
34,2020-02-20 10:30:00,Pedro Teixera,5,Andrey Seroshtan,9,2020 EuroTour Treviso,35
35,2020-02-20 10:30:00,Alex Montpellier,9,Michele Bianchini,3,2020 EuroTour Treviso,36
36,2020-02-20 12:00:00,Bruno Bernardo,8,Viacheslav Skvortsov,9,2020 EuroTour Treviso,37
37,2020-02-20 12:00:00,Osman Sanlisoy,9,Marc CodinaLlonch,6,2020 EuroTour Treviso,38
38,2020-02-20 13:30:00,Jeppe Thyde,9,Amar Gjyshinca,6,2020 EuroTour Treviso,39
39,2020-02-20 13:30:00,Jasmin Ouschan,2,Darren Appleton,9,2020 EuroTour Treviso,40
40,2020-02-20 13:30:00,Quinten Pongers,9,Johan Pale,5,2020 EuroTour Treviso,41
41,2020-02-20 09:00:00,Stanimir Ruslanov,9,Pijus Labutis,5,2020 EuroTour Treviso,42
42,2020-02-20 09:00:00,Johanna Vartiainen,4,Manuel Pereira,9,2020 EuroTour Treviso,43
43,2020-02-20 09:00:00,Gabor Solymosi,9,Lars Kuckherm,7,2020 EuroTour Treviso,44
44,2020-02-20 10:30:00,Andrea Milioli,3,Nikos Ekonomopoulos,9,2020 EuroTour Treviso,45
45,2020-02-20 10:30:00,Nick Malai,9,Stephen Defrasnes,5,2020 EuroTour Treviso,46
46,2020-02-20 12:00:00,Miquel Canillas,2,Zoran Svilar,9,2020 EuroTour Treviso,47
47,2020-02-20 12:00:00,Lefteris Georgiou,1,Wojciech Sroczynski,9,2020 EuroTour Treviso,48
48,2020-02-20 12:00:00,Giuseppe Iacobucci,8,Elliott Sanderson,9,2020 EuroTour Treviso,49
49,2020-02-20 13:30:00,Moritz Lauwereyns,6,Gianluca Ascheri,9,2020 EuroTour Treviso,50
50,2020-02-20 13:30:00,Karol Skowerski,9,Stefano Dellino,5,2020 EuroTour Treviso,51
51,2020-02-20 15:00:00,Georgi Georgiev,2,Mariusz Skoneczny,9,2020 EuroTour Treviso,52
