,0
0,Shane Van Boening
1,Konrad Juszczyszyn
2,Eklent Kaci
3,Ruslan Chinakhov
4,Mateusz Sniegocki
5,Ivar Saris
6,Alex Kazakis
7,David Alcaide
8,Jayson Shaw
9,Pijus Labutis
10,Niels Feijen
11,Petri Makkonen
12,Francisco Sanchez Ruiz
13,Dennis Orcollo
14,Ralf Souquet
15,Darren Appleton
16,Denis Grabe
17,Joshua Filler
18,Alex Pagulayan
19,Albin Ouschan
20,Mark Gray
21,Ko Pin Yi
22,Roman Hybler
23,Thorsten Hohmann
24,Mario He
25,Damianos Giallourakis
26,Mika Immonen
27,Casper Maitkainen
28,Thomas Kaplan
29,Carlo Biado
30,Francisco Diaz-Pizarro
31,John Morra
32,Nikos Ekonomopoulos
33,Fedor Gorst
34,Chris Melling
35,Nick Malai
36,Imran Majid
37,Liu Haitao
38,Wojciech Szewczyk
39,Jeffrey de Luna
40,Ko Ping-Chung
41,Jeffrey Ignacio
42,Lee Vann Corteza
43,Naoyuki Oi
44,Mieszko Fortunski
45,Konstantin Stepanov
46,Chang Jung-Lin
47,Omar al-Shaheen
48,Wu Jiaqing
49,Jakub Koniar
50,Raymund Faraon
51,Radoslaw Babica
52,Johnny Archer
53,Chang Yu-Lung
54,Francisco Bustamante
55,Johann Chua
56,Yukio Akakariyama
57,Karl Boyes
58,Fabio Rizzi
59,Rodney Morris
60,Warren Kiamco
61,Kevin Cheng
62,Corey Deuel
63,Maksim Dudanets
64,Hunter Lombardo
65,Wang Can
66,Nick van den Berg
67,Sanjin Pehlivanovic
68,Jason Klatt
69,Toru Kuribayashi
70,Dang Jin Hu
71,Aloysius Yapp
72,Waleed Majid
73,Skyler Woodward
74,Maximilian Lechner
75,Wu Kun-Lin
76,Jalal Yousef
77,Efren Reyes
78,Wiktor Zielinski
79,Antonio Gabica
80,Daryl Peach
81,Jung-Lin Chang
82,Karol Skowerski
83,Ronnie Alcano
84,Mats Schjetne
85,Oliver Ortmann
86,Edmond Zaja
87,Lo Li-Wen
88,Billy Thorpe
89,Marc Bijsterbosch
90,Casper Matikainen
91,Marco Teutscher
92,Ryu Seung-woo
93,Alex Montpellier
94,Ernesto Dominguez
95,Mauro Catriota
96,Christian Fröhlich
97,Miguel Silva
98,James Aranas
99,Sebastian Staab
100,Hayato Hijikata
101,Matt Edwards
102,Ronald Regli
103,Tyler Styer
104,Earl Strickland
105,Gabe Owen
106,Cheng-Chieh Liu
107,Tomasz Kaplan
108,Marcus Chamat
109,Dennis Hatch
110,Oscar Dominguez
111,Yang Ching Shun
112,Francisco Felicilda
113,Li He Wen
114,Konrad Piekarski
115,Kostas Koukiadakis
116,Roberto Gomez
117,Toh Lian Han
118,Che-Wei Fu
119,Max Eberle
120,Vilmos Foldes
121,Mitch Ellerman
122,Chris Alexander
123,Lefteris Georgiou
124,Duong Quoc Hoang
125,Dimitris Loukatos
126,Fabio Petroni
127,Jeong Young Hwa
128,Kai-Lun Hsu
129,Mike Dechaine
130,Shaun Wilkie
131,Lin Da-Li
132,Marlon Manalo
133,Brandon Shuff
134,Dimitri Jungo
135,Hsieh Chia-Chen
136,Mohammad-Ali Berjaoui
137,Mazen Berjawi
138,Roland Garcia
139,Israel Rota
140,Jason Theron
141,Oliver Medenilla
142,Yu Hsuan Cheng
143,Martin Daigle
144,Daniel Maciol
145,Ching-Shun Yang
146,Erik Hjorleifson
147,Tony Drago
148,Justin Bergman
149,Bashar Hussain
150,Marc Vidal
151,Bruno Muratore
152,Antonio Lining
153,Mickey Krause
154,Bader al-Awadhi
155,Chris McDaniel
156,Chu Bingjie
157,Richard Halliday
158,Abdul Latif al-Fawal
159,Kuo Po-Cheng
160,Daniele Corrieri
161,Huidji See
162,Marek Kudlik
163,Lo Ho Sum
164,Ramil Gallego
165,Amar Kang
166,Davy Piergiovanni
167,Xu Xiaocong
168,Yu-Lung Chang
169,Zoran Svilar
170,Donny Mills
171,Wojciech Sroczynski
172,Luu Minh Phuc
173,Liu Ri Teng
174,Vang Bui Xuan
175,Jani Siekkinen
176,Moritz Lauwereyns
177,Stanimir Ruslanow
178,Chung Ko Ping
179,Aleksa Pecelj
180,Bora Anar
181,Olivér Szolnoki
182,Satoshi Kawabata
183,Mariusz Skoneczny
184,Artem Koshovyi
185,Szu-Ting Kuo
186,Robbie Capito
187,Elliott Sanderson
188,Arjan Matrizi
189,Francesco Candela
190,Donny Branson
191,Salah Al Riwani
192,Massimiliano Corso
193,Han Haoxiang
194,Menelaos Lolas
195,Charlie Williams
196,Ali Maghsoud
197,Osman Sanlisoy
198,Oliver Szolnoki
199,Raj Hundal
200,Jeppe Thyde
201,Kings Santy
202,Liu Cheng Chieh
203,Mustafa Alnar
204,Blake Baker
205,Sergey Lutsker
206,Nguyễn Anh Tuấn
