playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
David Alcaide,Francisco Sánchez Ruíz,7,3,1,29-Mar-19,2019 World Pool Masters
Shane Van Boening,Kelly Fisher,7,2,2,29-Mar-19,2019 World Pool Masters
Wu Jia-qing,Alex Pagulayan,4,7,3,29-Mar-19,2019 World Pool Masters
Eklent Kaci,Earl Strickland,7,2,4,29-Mar-19,2019 World Pool Masters
Justin Sajich,Petri Makkonen,7,4,5,29-Mar-19,2019 World Pool Masters
Matt Edwards,Chris Melling,7,3,6,29-Mar-19,2019 World Pool Masters
Albin Ouschan,Jeffrey De Luna,7,2,7,29-Mar-19,2019 World Pool Masters
Fedor Gorst,Naoyuki Oi,7,2,8,29-Mar-19,2019 World Pool Masters
David Alcaide,Niels Feijen,7,3,9,29-Mar-19,2019 World Pool Masters
Han Yu,Shane Van Boening,7,6,10,29-Mar-19,2019 World Pool Masters
Ko Pin Yi,Alex Pagulayan,6,7,11,29-Mar-19,2019 World Pool Masters
Eklent Kaci,Jayson Shaw,7,2,12,29-Mar-19,2019 World Pool Masters
Alex Kazakis,Justin Sajich,7,3,13,29-Mar-19,2019 World Pool Masters
Konrad Juszcyzszyn,Matt Edwards,6,7,14,29-Mar-19,2019 World Pool Masters
Joshua Filler,Albin Ouschan,6,7,15,29-Mar-19,2019 World Pool Masters
Skyler Woodward,Fedor Gorst,7,4,16,29-Mar-19,2019 World Pool Masters
David Alcaide,Shane Van Boening,7,3,17,29-Mar-19,2019 World Pool Masters
Eklent Kaci,Alex Pagulayan,7,5,18,29-Mar-19,2019 World Pool Masters
Alex Kazakis,Matt Edwards,7,1,19,29-Mar-19,2019 World Pool Masters
Skyler Woodward,Albin Ouschan,7,3,20,29-Mar-19,2019 World Pool Masters
David Alcaide,Eklent Kaci,8,3,21,29-Mar-19,2019 World Pool Masters
Alex Kazakis,Skyler Woodward,8,1,22,29-Mar-19,2019 World Pool Masters
David Alcaide,Alex Kazakis,9,8,23,29-Mar-19,2019 World Pool Masters
David Alcaide,Karl Boyes,3,8,1,2-Mar-18,2018 World Pool Masters
Ralf Souquet,Karol Skowerski,8,4,2,2-Mar-18,2018 World Pool Masters
Niels Feijen,Raj Hundal,8,2,3,2-Mar-18,2018 World Pool Masters
Chris Melling,Dennis Orcollo,3,8,4,2-Mar-18,2018 World Pool Masters
Shane Van Boening,Daryl Peach,8,2,5,2-Mar-18,2018 World Pool Masters
Darren Appleton,Earl Strickland,8,6,6,2-Mar-18,2018 World Pool Masters
Alex Pagulayan,Alex Lely,8,4,7,2-Mar-18,2018 World Pool Masters
Jayson Shaw,Joshua Filler,8,5,8,2-Mar-18,2018 World Pool Masters
Karl Boyes,Ralf Souquet,8,7,9,2-Mar-18,2018 World Pool Masters
Niels Feijen,Dennis Orcollo,8,6,10,2-Mar-18,2018 World Pool Masters
Shane Van Boening,Darren Appleton,8,4,11,2-Mar-18,2018 World Pool Masters
Jayson Shaw,Alex Pagulayan,8,5,12,2-Mar-18,2018 World Pool Masters
Karl Boyes,Niels Feijen,3,8,13,2-Mar-18,2018 World Pool Masters
Shane Van Boening,Jayson Shaw,8,3,14,2-Mar-18,2018 World Pool Masters
Niels Feijen,Shane Van Boening,8,4,15,2-Mar-18,2018 World Pool Masters
Shane Van Boening,Francisco Sánchez Ruíz,8,2,1,17-Feb-17,2017 World Pool Masters
David Alcaide,Ralf Souquet,8,3,2,17-Feb-17,2017 World Pool Masters
Albin Ouschan,Mika Immonen,8,6,3,17-Feb-17,2017 World Pool Masters
Cheng Yu-hsuan,Naoyuki Oi,6,8,4,17-Feb-17,2017 World Pool Masters
Jayson Shaw,Wojciech Szewczyk,8,3,5,17-Feb-17,2017 World Pool Masters
Alex Pagulayan,Stephen Webber,8,1,6,17-Feb-17,2017 World Pool Masters
Omar al-Shaheen,Niels Feijen,8,3,7,17-Feb-17,2017 World Pool Masters
Chang Jung Lin,Mark Gray,8,6,8,17-Feb-17,2017 World Pool Masters
Shane Van Boening,David Alcaide,3,8,9,17-Feb-17,2017 World Pool Masters
Albin Ouschan,Naoyuki Oi,8,4,10,17-Feb-17,2017 World Pool Masters
Jayson Shaw,Alex Pagulayan,8,7,11,17-Feb-17,2017 World Pool Masters
Omar al-Shaheen,Chang Jung Lin,3,8,12,17-Feb-17,2017 World Pool Masters
David Alcaide,Albin Ouschan,8,6,13,17-Feb-17,2017 World Pool Masters
Jayson Shaw,Chang Jung Lin,8,3,14,17-Feb-17,2017 World Pool Masters
David Alcaide,Jayson Shaw,8,7,15,17-Feb-17,2017 World Pool Masters
Shane Van Boening,John Morra,8,6,1,14-Aug-15,2015 World Pool Masters
