team,totalWins_mean,totalWins_low,totalWins_high,bestteam,league_mean,league_low,league_high,wonDivision,division_mean,division_low,division_high
New England Patriots,13.6398,9,16,32.31,3.7768,1.0,13.0,77.66999999999999,1.2722,1.0,3.0
Seattle Seahawks,13.4774,9,16,28.67,4.1028,1.0,15.0,86.50999999999999,1.166,1.0,3.0
Denver Broncos,13.1728,8,16,28.470000000000002,4.6331,1.0,16.0,73.4,1.3265,1.0,3.0
Green Bay Packers,12.971,8,16,21.77,4.935,1.0,17.0,86.76,1.1534,1.0,2.0
Indianapolis Colts,11.5418,7,15,7.180000000000001,7.655,1.0,19.0,69.15,1.3151,1.0,2.0
Dallas Cowboys,11.2518,6,15,7.02,8.2047,1.0,20.0,53.1,1.5686,1.0,3.0
Philadelphia Eagles,11.0424,5,15,4.92,8.7846,1.0,22.0,49.82,1.6417,1.0,3.0
Buffalo Bills,10.9062,6,15,5.24,8.9518,1.0,21.0,22.8,2.084,1.0,4.0
Kansas City Chiefs,10.7771,5,15,5.09,9.2808,1.0,22.0,27.560000000000002,1.9639,1.0,3.0
Baltimore Ravens,10.6866,5,15,5.37,9.5889,1.0,23.0,65.03,1.4987,1.0,4.0
Houston Texans,10.1007,5,15,2.26,10.7975,2.0,22.0,39.050000000000004,1.6316,1.0,2.0
Miami Dolphins,9.1953,4,14,1.47,12.7027,2.0,25.0,9.83,2.5863,1.0,4.0
San Diego Chargers,8.6362,4,14,0.8200000000000001,14.0301,3.0,26.0,9.24,2.5415,1.0,3.0
Arizona Cardinals,8.5139,2,14,1.35,14.3162,2.0,28.0,11.62,2.4845,1.0,4.0
Detroit Lions,8.4979,3,14,1.27,14.354,3.0,27.0,14.66,2.1911,1.0,4.0
New Orleans Saints,7.9624,3,13,0.4,15.6417,4.0,28.0,40.17,1.9625,1.0,4.0
Pittsburgh Steelers,7.9375,3,13,0.59,15.5868,3.0,28.0,23.59,2.2749,1.0,4.0
Atlanta Falcons,7.5664,2,13,0.44,16.5457,4.0,29.0,35.339999999999996,2.1073,1.0,4.0
Carolina Panthers,7.5258,2,13,0.35000000000000003,16.5841,4.0,29.0,33.879999999999995,2.0948,1.0,4.0
New York Giants,7.2048,2,13,0.22,17.3152,5.0,29.0,8.02,2.7103,1.0,4.0
Cincinnati Bengals,7.1893,2,13,0.5,17.2587,4.0,30.0,18.25,2.5183,1.0,4.0
St. Louis Rams,7.1032,2,13,0.21,17.5869,5.0,29.0,4.68,2.9228,1.0,4.0
San Francisco 49ers,6.3266,1,13,0.29,19.2444,5.0,30.0,4.2,3.1237,1.0,4.0
Minnesota Vikings,6.1696,1,12,0.11,19.6014,6.0,30.0,4.37,2.817,1.0,4.0
New York Jets,4.7905,1,9,0.0,22.8449,12.0,30.0,0.21,3.7799,2.0,4.0
Cleveland Browns,4.7118,1,10,0.04,22.926,10.0,31.0,3.8,3.3558,1.0,4.0
Tampa Bay Buccaneers,3.7152,0,9,0.0,25.0468,13.0,32.0,4.42,3.4327,1.0,4.0
Chicago Bears,3.5751,0,8,0.0,25.3842,15.0,32.0,0.33999999999999997,3.5877,2.0,4.0
Washington Redskins,2.6612,0,8,0.0,27.1107,16.0,32.0,0.15,3.8258,3.0,4.0
Jacksonville Jaguars,2.5909,0,7,0.0,27.3445,18.0,32.0,0.21,3.3718,2.0,4.0
Tennessee Titans,2.4333,0,7,0.0,27.6969,18.0,32.0,0.1,3.4387,3.0,4.0
Oakland Raiders,2.1158,0,6,0.0,28.2338,20.0,32.0,0.01,3.9424,3.0,4.0
