team,totalWins_mean,totalWins_low,totalWins_high,bestteam,league_mean,league_low,league_high,wonDivision,division_mean,division_low,division_high
New Orleans Saints,14.2758,11,16,35.04,2.8353,1.0,9.0,91.25999999999999,1.0927,1.0,2.0
Green Bay Packers,14.1942,10,16,40.94,3.0531,1.0,11.0,84.13000000000001,1.1791,1.0,2.0
New England Patriots,14.0521,10,16,35.199999999999996,3.2662,1.0,11.0,91.19,1.1064,1.0,2.0
San Francisco 49ers,12.4001,8,15,7.37,5.9461,1.0,14.0,90.72,1.0984,1.0,2.0
Pittsburgh Steelers,12.1107,7,16,11.04,6.7375,1.0,19.0,53.559999999999995,1.6137,1.0,3.0
Baltimore Ravens,11.9073,7,16,9.44,7.1001,1.0,19.0,48.15,1.6791,1.0,3.0
Detroit Lions,11.2378,6,15,3.9600000000000004,8.3548,1.0,20.0,20.369999999999997,2.0104,1.0,3.0
Houston Texans,11.2269,7,15,3.85,8.365,1.0,19.0,85.8,1.1553,1.0,2.0
Philadelphia Eagles,11.0727,5,15,3.84,8.7319,1.0,22.0,70.35,1.4121,1.0,3.0
Atlanta Falcons,10.651,6,15,1.63,9.5839,2.0,21.0,13.71,2.0172,1.0,3.0
San Diego Chargers,10.1585,5,14,1.3599999999999999,10.6638,2.0,24.0,83.3,1.2223,1.0,3.0
Miami Dolphins,8.9117,4,13,0.44999999999999996,13.3508,4.0,25.0,7.07,2.542,1.0,4.0
Cincinnati Bengals,8.7169,3,14,0.62,13.8131,3.0,27.0,11.21,2.6534,1.0,4.0
Chicago Bears,8.5843,4,13,0.27999999999999997,14.0531,4.0,25.0,4.14,2.7663,1.0,4.0
New York Jets,8.3878,3,14,0.48,14.4781,3.0,27.0,6.74,2.6961,1.0,4.0
Dallas Cowboys,8.0803,3,14,0.69,15.2159,3.0,27.0,22.15,2.3029,1.0,4.0
Seattle Seahawks,7.7862,3,13,0.4,15.8596,4.0,27.0,11.81,2.1615,1.0,3.0
Carolina Panthers,7.3321,3,12,0.1,16.8936,6.0,28.0,1.69,2.8091,2.0,4.0
New York Giants,7.2236,3,13,0.37,17.0595,4.0,28.0,14.39,2.5801,1.0,4.0
Tennessee Titans,7.1608,2,13,0.15,17.261,5.0,29.0,17.57,2.0637,1.0,4.0
Buffalo Bills,6.3329,2,11,0.02,19.1601,8.0,29.0,1.18,3.3373,2.0,4.0
Oakland Raiders,5.7018,1,11,0.01,20.6463,9.0,30.0,12.47,2.4675,1.0,4.0
Arizona Cardinals,5.5824,1,11,0.01,20.7932,9.0,30.0,2.71,2.7104,1.0,4.0
Washington Redskins,4.9997,1,11,0.01,22.1289,9.0,31.0,4.1000000000000005,3.3318,1.0,4.0
Denver Broncos,4.8916,1,10,0.0,22.4111,11.0,30.0,7.920000000000001,2.7504,1.0,4.0
Cleveland Browns,4.5645,1,10,0.03,23.1141,10.0,31.0,0.67,3.7371,2.0,4.0
Minnesota Vikings,4.4941,1,9,0.0,23.3553,13.0,31.0,0.06999999999999999,3.7966,3.0,4.0
Jacksonville Jaguars,4.2688,1,10,0.02,23.7408,11.0,31.0,3.2800000000000002,2.8677,1.0,4.0
Kansas City Chiefs,3.8679,0,9,0.0,24.6682,13.0,32.0,4.44,3.1576,1.0,4.0
Tampa Bay Buccaneers,2.2808,0,6,0.0,28.0125,19.0,32.0,0.0,3.9043,3.0,4.0
Indianapolis Colts,1.8557,0,6,0.0,28.6876,20.0,32.0,0.12,3.6421,2.0,4.0
St. Louis Rams,1.6804,0,5,0.0,29.0678,21.0,32.0,0.01,3.8209,3.0,4.0
